table,columns
JSH_Base_Disponibilidad_20_26_enero,8
JSH_Base_Disponibilidad_21_31_marzo,8
JSH_Base_Disponibilidad_24_28_febrero,8
JSH_Base_Disponibilidad_27_enero_al_02_febrero,8
JSH_Base_Disponibilidad_abril_21_25,8
JSH_Base_Disponibilidad_abril_26_30,8
JSH_Base_Disponibilidad_junio_01_04,8
JSH_Base_Disponibilidad_junio_05_10,8
JSH_Base_Disponibilidad_junio_11_23,8
JSH_Base_Disponibilidad_junio_21_30,8
JSH_Base_Disponibilidad_mayo_01_04,8
JSH_Base_Disponibilidad_mayo_05_09,8
JSH_Base_Disponibilidad_mayo_10_14,8
JSH_Base_Disponibilidad_mayo_15_19,8
JSH_Base_Disponibilidad_mayo_20_25,8
JSH_Base_Disponibilidad_mayo_26_30,8
KCS_CATALOGO_MOTIVOS_OSIPTEL,3
T_BASE_202209,51
T_BASE_202210,51
T_BASE_202211,51
T_BASE_202212,51
T_BASE_202301,69
T_BASE_202302,69
T_BASE_202303,69
T_BASE_202304,69
T_BASE_202305,69
T_BASE_202306,69
T_BASE_202307,69
T_BASE_202308,69
T_BASE_202309_ENVIO_OSIPTEL_NUEVA_VERSION,67
T_BASE_202310_ENVIO_OSIPTEL_NUEVA_VERSION,67
T_BASE_202311_ENVIO_OSIPTEL_NUEVA_VERSION,67
T_BASE_202312_ENVIO_OSIPTEL_NUEVA_VERSION,67
T_BASE_202401_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202402_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202403_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202404_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202405_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202406_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202407_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202408_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202409_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202410_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_202411_ENVIO_OSIPTEL,48
T_BASE_202411_ENVIO_OSIPTEL_NUEVA_VERSION,49
T_BASE_VOZ_ATENC_VIRTUAL_202305,19
T_BASE_VOZ_ATENC_VIRTUAL_202306,19
T_BASE_VOZ_ATENC_VIRTUAL_202307,19
T_BASE_VOZ_ATENC_VIRTUAL_202308,19
T_BASE_VOZ_ATENC_VIRTUAL_202309,19
T_BASE_VOZ_ATENC_VIRTUAL_202310,19
T_BASE_VOZ_ATENC_VIRTUAL_202311,19
T_BASE_VOZ_ATENC_VIRTUAL_202312,19
T_DETALLE_LN_202209,48
T_DETALLE_LN_202209_OSPTL,48
T_DETALLE_LN_202210,48
T_DETALLE_LN_202210_OSPTL,48
T_DETALLE_LN_202211,48
T_DETALLE_LN_202211_OSPTL,48
T_DETALLE_LN_202212,48
T_DETALLE_LN_202301,71
T_DETALLE_LN_202302,71
T_DETALLE_LN_202303,71
T_DETALLE_LN_202304,70
T_DETALLE_LN_202305,70
T_DETALLE_LN_202306,70
T_DETALLE_LN_202307,70
T_DETALLE_LN_202308,70
T_DETALLE_LN_202309_ENVIO_OSIPTEL_NUEVA_VERSION,68
T_DETALLE_LN_202310_ENVIO_OSIPTEL_NUEVA_VERSION,68
T_DETALLE_LN_202311_ENVIO_OSIPTEL_NUEVA_VERSION,68
T_DETALLE_LN_202312_ENVIO_OSIPTEL_NUEVA_VERSION,68
T_DETALLE_LN_202401_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202402_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202403_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202404_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202405_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202406_ENVIO_OSIPTEL_NUEVA_VERSION,46
T_DETALLE_LN_202406_ENVIO_OSIPTEL_NUEVA_VERSION_NUEVO,46
T_DETALLE_LN_202407_ENVIO_OSIPTEL_NUEVA_VERSION,47
T_DETALLE_LN_202408_ENVIO_OSIPTEL_NUEVA_VERSION,47
T_DETALLE_LN_202409_ENVIO_OSIPTEL_NUEVA_VERSION,47
T_DETALLE_LN_202410_ENVIO_OSIPTEL_NUEVA_VERSION,47
T_DETALLE_LN_202411_ENVIO_OSIPTEL,46
T_DETALLE_LN_202411_ENVIO_OSIPTEL_NUEVA_VERSION,47
T_LISTADO_DNIS,5
T_LISTADO_IVR,2
T_LISTADO_IVR_VAL,2
T_LISTADO_IVR_VAL_2,2
T_REGULADOS_STAR_GLOBAL_201909,18
T_REGULADOS_STAR_GLOBAL_201910,18
T_REGULADOS_STAR_GLOBAL_201911,18
T_REGULADOS_STAR_GLOBAL_201912,18
T_REGULADOS_STAR_GLOBAL_202001,18
T_REGULADOS_STAR_GLOBAL_202002,18
T_REGULADOS_STAR_GLOBAL_202003,18
T_REGULADOS_STAR_GLOBAL_202004,18
T_REGULADOS_STAR_GLOBAL_202005,18
T_REGULADOS_STAR_GLOBAL_202006,18
T_REGULADOS_STAR_GLOBAL_202007,18
T_REGULADOS_STAR_GLOBAL_202008,18
T_REGULADOS_STAR_GLOBAL_202009,18
T_REGULADOS_STAR_GLOBAL_202010,18
T_REGULADOS_STAR_GLOBAL_202011,18
T_REGULADOS_STAR_GLOBAL_202012,18
T_REGULADOS_STAR_GLOBAL_202101,18
T_REGULATORIO_LENGUAJE_NATURAL_202301,8
T_REGULATORIO_LENGUAJE_NATURAL_202302,8
T_REGULATORIO_LENGUAJE_NATURAL_202303,8
T_REGULATORIO_LENGUAJE_NATURAL_202304,8
T_REGULATORIO_LENGUAJE_NATURAL_202305,8
T_REGULATORIO_LENGUAJE_NATURAL_202306,8
T_REGULATORIO_LENGUAJE_NATURAL_202307,8
T_REGULATORIO_LENGUAJE_NATURAL_202308,8
T_REGULATORIO_LENGUAJE_NATURAL_202309,8
T_REGULATORIO_LENGUAJE_NATURAL_202310,8
T_REGULATORIO_LENGUAJE_NATURAL_202311,8
T_REGULATORIO_LENGUAJE_NATURAL_202312,8
T_REGULATORIO_LENGUAJE_NATURAL_202401,8
T_REGULATORIO_LENGUAJE_NATURAL_202402,8
T_REGULATORIO_LENGUAJE_NATURAL_202403,8
T_REGULATORIO_LENGUAJE_NATURAL_202404,8
T_REGULATORIO_LENGUAJE_NATURAL_202405,8
T_REGULATORIO_LENGUAJE_NATURAL_202406,8
T_REGULATORIO_LENGUAJE_NATURAL_202407,9
T_REGULATORIO_LENGUAJE_NATURAL_202408,9
T_REGULATORIO_LENGUAJE_NATURAL_202409,9
T_REGULATORIO_LENGUAJE_NATURAL_202410,9
T_REGULATORIO_LENGUAJE_NATURAL_202411,9
T_STAR_GLOBAL_ORIGINAL_202004,89
T_STAR_GLOBAL_ORIGINAL_202005,89
T_STAR_GLOBAL_ORIGINAL_202006,89
T_STAR_GLOBAL_ORIGINAL_202007,89
T_STAR_GLOBAL_ORIGINAL_202008,89
T_STAR_GLOBAL_ORIGINAL_202009,89
T_STAR_GLOBAL_ORIGINAL_202010,89
T_STAR_GLOBAL_ORIGINAL_202011,89
T_STAR_GLOBAL_ORIGINAL_202012,89
T_STAR_GLOBAL_ORIGINAL_202101,89
T_V2_REGULADOS_PW_202301,22
T_V2_REGULADOS_PW_202302,22
T_V2_REGULADOS_PW_202303,22
T_V2_REGULADOS_PW_202304,22
T_V2_REGULADOS_PW_202305,22
T_V2_REGULADOS_PW_202306,22
T_V2_REGULADOS_PW_202307,22
T_V2_REGULADOS_PW_202308,22
T_V2_REGULADOS_PW_202309,22
T_V2_REGULADOS_PW_202310,22
T_V2_REGULADOS_PW_202311,22
T_V2_REGULADOS_PW_202312,22
T_V2_REGULADOS_PW_202401,22
T_V2_REGULADOS_PW_202402,22
T_V2_REGULADOS_PW_202403,22
T_V2_REGULADOS_PW_202404,22
T_V2_REGULADOS_PW_202405,22
T_V2_REGULADOS_PW_202406,22
T_V2_REGULADOS_PW_202407,22
T_V2_REGULADOS_PW_202408,22
T_V2_REGULADOS_PW_202409,22
T_V2_REGULADOS_PW_202410,22
T_V2_REGULADOS_PW_202411,22
T_V2_TEMPORAL_REGULADOS_PW,20
base,1
export_csv_osiptel,64
jsh_Catalogo_Autogestion_AURA_OSIPTEL,2
jsh_Catalogo_Autogestion_AURA_Ranking_OSIPTEL_v2,5
jsh_Catalogo_Autogestion_BM_CCEE_Ranking_OSIPTEL,2
jsh_Catalogo_Autogestion_BM_CCEE_Ranking_OSIPTEL_v2,2
jsh_Catalogo_Autogestion_BM_CCEE_Ranking_OSIPTEL_v3,7
jsh_Catalogo_Motivos_Tipificador_Visor_Ranking_OSIPTEL_v2,5
jsh_Catalogo_Motivos_Tipificador_Visor_Ranking_OSIPTEL_v3,6
jsh_base_tipificaciones_Ranking_OSIPTEL_2021_2S,18
jsh_base_tipificaciones_Ranking_OSIPTEL_2022_05_06_07,19
jsh_base_tipificaciones_Ranking_OSIPTEL_2022_07,18
jsh_base_tipificaciones_Ranking_OSIPTEL_2022_07_1_al_7,13
