database,table,columns
REGULADOS,T_BASE_202408_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202409_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202410_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202411_ENVIO_OSIPTEL,48
REGULADOS,T_BASE_202411_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202305,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202306,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202307,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202308,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202309,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202310,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202311,19
REGULADOS,T_BASE_VOZ_ATENC_VIRTUAL_202312,19
REGULADOS,T_DETALLE_LN_202209,48
REGULADOS,T_DETALLE_LN_202209_OSPTL,48
REGULADOS,T_DETALLE_LN_202210,48
REGULADOS,T_DETALLE_LN_202210_OSPTL,48
REGULADOS,T_DETALLE_LN_202211,48
REGULADOS,T_DETALLE_LN_202211_OSPTL,48
REGULADOS,T_DETALLE_LN_202212,48
REGULADOS,T_DETALLE_LN_202301,71
REGULADOS,T_DETALLE_LN_202302,71
REGULADOS,T_DETALLE_LN_202303,71
REGULADOS,T_DETALLE_LN_202304,70
REGULADOS,T_DETALLE_LN_202305,70
REGULADOS,T_DETALLE_LN_202306,70
REGULADOS,T_DETALLE_LN_202307,70
REGULADOS,T_DETALLE_LN_202308,70
REGULADOS,T_DETALLE_LN_202309_ENVIO_OSIPTEL_NUEVA_VERSION,68
REGULADOS,T_DETALLE_LN_202310_ENVIO_OSIPTEL_NUEVA_VERSION,68
REGULADOS,T_DETALLE_LN_202311_ENVIO_OSIPTEL_NUEVA_VERSION,68
REGULADOS,T_DETALLE_LN_202312_ENVIO_OSIPTEL_NUEVA_VERSION,68
REGULADOS,T_DETALLE_LN_202401_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202402_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202403_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202404_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202405_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202406_ENVIO_OSIPTEL_NUEVA_VERSION,46
REGULADOS,T_DETALLE_LN_202406_ENVIO_OSIPTEL_NUEVA_VERSION_NUEVO,46
REGULADOS,T_DETALLE_LN_202407_ENVIO_OSIPTEL_NUEVA_VERSION,47
