database,table,columns
FACTURACION,T_INPUT_SATISFACCION,12
FACTURACION,T_INPUT_SATISFACCION_NPS_SOL_2022,14
FACTURACION,T_INPUT_TARIFAS,7
FACTURACION,T_INPUT_TIPO_CAMBIO_HISPAM,6
FACTURACION,T_INPUT_TOPE_NPS_1_2,8
FACTURACION,T_INPUT_TRANSFERENCIAS_MISMO_POOL,6
FACTURACION,T_INPUT_TRX_CROSS,8
FACTURACION,T_INPUT_TRX_RELL,11
FACTURACION,T_INPUT_USO_GENIO,8
FACTURACION,T_INPUT_USUARIOS_COR,14
FACTURACION,T_LOG_PROCESO_FACTURACION,4
FACTURACION,T_PAGO_PREGUNTA_RESPUESTA_MES,8
FACTURACION,T_PESOS_TIPO_ENCUESTA_MES,6
FACTURACION,T_REPORTE_RESUMEN_KIPU_DIA,5
FACTURACION,T_REPORTE_RESUMEN_METRICAS_CALIDAD,14
FACTURACION,T_RESUMEN_CUBO_ESTRATEGIA_MES_ESTRATEGIA_VOZ,13
FACTURACION,T_RESUMEN_CUBO_ESTRATEGIA_MES_REAL_VOZ,16
FACTURACION,T_RESUMEN_DIARIO_FACTURACION_PRELIMINAR_CCEE,22
FACTURACION,T_RESUMEN_KPIS_CALIDAD,6
FACTURACION,T_RESUMEN_MAXIMO_DIA_MES,5
FACTURACION,T_RESUMEN_MES_FACTURACION_PRELIMINAR_CCEE,54
FACTURACION,T_RESUMEN_MES_FACTURACION_PRELIMINAR_VOZ_ALBATROS,95
FACTURACION,T_TEMP_CASOS_BOTMAKER,9
FACTURACION,T_TEMP_CASOS_BOTMAKER_DIARIO,9
FACTURACION,T_TEMP_DATOS_BO,7
FACTURACION,T_TEMP_DETALLE_CALIDAD,7
FACTURACION,T_TEMP_FACTURACION_DIA,79
FACTURACION,T_TEMP_FACTURACION_INTERVALO,73
FACTURACION,T_TEMP_FACTURACION_INTERVALO_RETENCIONES,69
FACTURACION,T_TEMP_FACTURACION_MES,120
FACTURACION,T_TEMP_FACTURACION_MES2,106
FACTURACION,T_TEMP_FACTURACION_NUEVO_COR,7
FACTURACION,T_TEMP_HORAS_BOTMAKER_DIARIO,6
FACTURACION,T_TEMP_HORAS_BOTMAKER_RES,6
FACTURACION,T_TEMP_INPUT_CALIDAD,12
FACTURACION,T_TEMP_INPUT_COR,16
FACTURACION,T_TEMP_INPUT_COR_PASO1,8
FACTURACION,T_TEMP_INPUT_HORARIO,22
FACTURACION,T_TEMP_INPUT_INTERVALOS_CONTIGENCIA,15
FACTURACION,T_TEMP_INPUT_LINEA_FINAL_FACTURACION_CCEE_PASO1,5
FACTURACION,T_TEMP_INPUT_LINEA_FINAL_FACTURACION_CCEE_PASO2,15
FACTURACION,T_TEMP_INPUT_PARAMETROS,19
FACTURACION,T_TEMP_INPUT_PARAMETROS_VALORES_CROSS,4
FACTURACION,T_TEMP_INPUT_PARAMETROS_VOZ_CIRCULAR,5
FACTURACION,T_TEMP_INPUT_PARAMETROS_VOZ_FDD,10
FACTURACION,T_TEMP_INPUT_PARAMETROS_VOZ_FDD_2,10
FACTURACION,T_TEMP_INPUT_SATISFACCION,14
FACTURACION,T_TEMP_INPUT_SATISFACCION_PASO1,7
FACTURACION,T_TEMP_INPUT_SIMULACION,17
FACTURACION,T_TEMP_INPUT_SIMULACION_PASO1,7
FACTURACION,T_TEMP_INPUT_USUARIOS_COR,15
FACTURACION,T_TEMP_INPUT_USUARIOS_COR_PASO1,7
FACTURACION,T_TEMP_LISTA_FDS,23
FACTURACION,T_TEMP_LISTA_VERSION,15
FACTURACION,T_TEMP_PRELIMINAR_BO,18
FACTURACION,T_TEMP_PRELIMINAR_BO_OTROS_KIPU,17
FACTURACION,T_TEMP_PRELIMINAR_CCEE_KIPU,66
FACTURACION,T_TEMP_PRELIMINAR_COMISIONES_CROSS,15
FACTURACION,T_TEMP_PRELIMINAR_RETEN_FIDE,18
FACTURACION,T_TEMP_RESUMEN_INTERVALOS_X_DIA,6
FACTURACION,T_T_INPUT_PARAMETROS_VOZ_CIRCULAR,4
FACTURACION,YOHA_BO_REAL_CIERRE_AGOSTO,7
FACTURACION,YOHA_BO_REAL_CIERRE_NOVIEMBRE,7
FACTURACION,YOHA_BO_REAL_CIERRE_OCTUBRE,7
FACTURACION,YOHA_BO_REAL_CIERRE_SETIEMBRE,7
FACTURACION,YOHA_OPERATIVO_V4_INCLUYE_TUVES,7
FACTURACION,________T_CCEE_MODELO_OBJETIVOS_TEMPO,7
FACTURACION,sysdiagrams,5
FACTURACION_HISPAM,20241105____HISPAM_TEMP_ECUADOR_EVENTO,47
FACTURACION_HISPAM,20241105____HISPAM_TEMP_ECUADOR_HORA,30
FACTURACION_HISPAM,20241120_____MIX_ALBATROS_T_TEMPORAL,14
FACTURACION_HISPAM,HISPAM_CONFIGURACION_CARGA_PAIS,8
FACTURACION_HISPAM,HISPAM_CONFIGURACION_CARGA_PAIS_CAMPOS,5
FACTURACION_HISPAM,MIXA_HISPAM_TC,3
FACTURACION_HISPAM,MIXA_LISTADO_PAIS_MONEDA,5
FACTURACION_HISPAM,MIX_ALBATROS_FINAL,38
FACTURACION_HISPAM,MIX_ALBATROS_FINAL_20241031,38
FACTURACION_HISPAM,MIX_ALBATROS_FINAL_20241105,38
FACTURACION_HISPAM,MIX_ALBATROS_FINAL_20241115,38
FACTURACION_HISPAM,MIX_ALBATROS_FINAL_20241204,38
FACTURACION_HISPAM,MIX_CARGA_TEMPORAL_HISPAM,16
FACTURACION_HISPAM,MIX_CARGA_TEMPORAL_HISPAM_20241120,16
FACTURACION_HISPAM,MIX_CARGA_TEMPORAL_HISPAM_20241204,16
FACTURACION_HISPAM,_____HISPAM_TEMP_ECUADOR,47
FACTURACION_HISPAM,_____HISPAM_TEMP_ECUADOR_EVENTO,47
FACTURACION_HISPAM,______HISPAM_CONFIGURACION_CARGA_PAIS_CAMPOS,4
FACTURACION_HISPAM,_______DATOS_HISPAM,22
FACTURACION_HISPAM,_______MIX_ALBATROS_FINAL_20241004,35
FACTURACION_HISPAM,_______MIX_ALBATROS_FINAL_20241030,38
FACTURACION_HISPAM,_______T_INPUT_PARAMETROS_20240717,44
FACTURACION_HISPAM,________HISPAM_CONFIGURACION_CARGA_PAIS,8
IVR_ADAPTATIVO,18052025_tramitador_Reten_2,1
IVR_ADAPTATIVO,20052025_tramitador_Reten,1
IVR_ADAPTATIVO,20230105_TEMP_VALIDAR,12
IVR_ADAPTATIVO,20230109_POSTPAGO_OLA2,1
IVR_ADAPTATIVO,202301_TEMP_VALIDAR,12
IVR_ADAPTATIVO,20230211_campania_cobranza,20
IVR_ADAPTATIVO,20230228_Base_Retenseg_68k,1
IVR_ADAPTATIVO,202302_bd_upsell_capl,1
IVR_ADAPTATIVO,20230313_FIJA_POTENCIAL,8
IVR_ADAPTATIVO,20230315_Estrangulados_01mar_al_08mar,5
IVR_ADAPTATIVO,20230328_INTRIGA_FASE3_IVRIN,4
IVR_ADAPTATIVO,20230328_INTRIGA_FASE3_IVRIN_FTTH_2MESES,3
IVR_ADAPTATIVO,20230328_INTRIGA_FASE3_IVRIN_FTTH_6MESES,3
IVR_ADAPTATIVO,20230328_INTRIGA_FASE3_IVRIN_HFC_2MESES,3
IVR_ADAPTATIVO,20230328_INTRIGA_FASE3_IVRIN_HFC_6MESES,3
IVR_ADAPTATIVO,202303_potenciales_fija,5
IVR_ADAPTATIVO,20230410_enrutamiento_cross,6
IVR_ADAPTATIVO,20230508_casos_infundados,11
IVR_ADAPTATIVO,202305_TEMP_VALIDAR,12
IVR_ADAPTATIVO,20231109_BASES_REPO_PILOTO_OCT23,15
IVR_ADAPTATIVO,20231116_base_reseteo_decos_adicional,9
IVR_ADAPTATIVO,20231220_2DO_PILOTO_RENTESEG,1
IVR_ADAPTATIVO,202312_MT_RES_AURA_1,4
IVR_ADAPTATIVO,20240119_3er_PILOTO_RENTESEG,5
IVR_ADAPTATIVO,20240215_CROSS_MOVIL_CAPTA_FIJA_AV,1
IVR_ADAPTATIVO,20240422_BOOnline_BaseClientes,7
IVR_ADAPTATIVO,20240515_Neutros_potenciales_Pospago,36
IVR_ADAPTATIVO,26052025_tramitadores_Reten,1
IVR_ADAPTATIVO,4PILOTO_RENTESEG,6
IVR_ADAPTATIVO,4PILOTO_RENTESEG_DETALLE,6
IVR_ADAPTATIVO,4PILOTO_RENTESEG_cobertura_postpago,1
IVR_ADAPTATIVO,AM_POTENCIAL_MIGRACION_ADSL_CON_COBERTURA,11
IVR_ADAPTATIVO,AM_POTENCIAL_REPETIDOR,5
IVR_ADAPTATIVO,Afiliacion_izipay_202209,3
IVR_ADAPTATIVO,B2C_DAIZIPAY_WHATSAPP_OUT,3
IVR_ADAPTATIVO,BASE2_BD_Resto_65.90,1
IVR_ADAPTATIVO,BASE3_Masificacion1MB_572K,1
IVR_ADAPTATIVO,BASE_ACUMULADA_tivr_cobranzas,2
