table,columns
Base_MT_quebrados_Final_20230831,36
Base_Marcar_degradado_fibra_20230420,13
Base_PortalCautivo_vcto0909_2309,4
Base_PortalCautivo_vcto0909_3009,5
Base_Prepago_ULT_30_DIAS_MENOR_5_SOLES_CCEE,1
Base_a_Cargar_Prepago_Diciembre,1
Base_a_Cargar_Prepago_Noviembre,1
Base_a_Cargar_Prepago_Octubre,1
Base_piloto_Migra_acumulado,3
Base_retenidos_dscto_ajuste_argumentario,12
Base_validacion_diaria_renteseg_012024,4
Base_validacion_diaria_renteseg_022024,4
Base_validacion_diaria_renteseg_112023,4
CABINA_actualizada_030522_2,7
CAMP_LISTA_FIJA_202101,6
CAMP_LISTA_FIJA_202102,7
CAMP_LISTA_FIJA_202102_ALEATORIA_20_PC,1
CAMP_LISTA_FIJA_NEW,6
CAMP_LISTA_FIJA_ULT,3
CAMP_LISTA_MOVIL_202101,6
CAMP_LISTA_MOVIL_202102,7
CAMP_LISTA_MOVIL_202102_40,1
CAMP_LISTA_MOVIL_202102_ALEATORIA_ENTRE_2,1
CAMP_LISTA_MOVIL_NEW,6
CAMP_LISTA_MOVIL_ULT,3
CATV_CORTADOS_09_11,7
CATV_CORTADOS_24_11,7
CDR_20220630101610_0950_0955,66
CDR_20240917,69
CDR_CALL_ID_202006,1
CDR_VALIDAR_EN_LINEA,66
CMS_Gray_List_20220704,7
COLOCAR_TELEFONO_SEGMENTO,3
CORTES_ADSL_0311,4
CX_FIJA_AMDOCS_carga_bloqueo,3
Clientes_a_migrar_a_Fibra,5
Completa_BA_20230222,1
Comunicacion_TV_20240509,42
DEGRADADOS_FIBRA_20230428,1
DEGRADADOS_FIBRA_20230519,1
DEGRADADOS_FIBRA_20230626,1
DEGRADADOS_FIBRA_20230724,1
DEGRADADOS_FIBRA_20230817,1
DEVOLUCION_20200905,1
DEVOLUCION_UPFRONT_TELEFONO_DNI,2
DNIS_NUEVA_SEGMENTACION_202009,3
DWH_LISTA_MIGRACION_FIJA_20211228,22
Desbloqueo_cobranzas_20210204,1
ETQ_CONTRATO_CLASICO,1
ETQ_CONTRATO_PLATA,1
EXCLUIR_ADSL_con_FIBRA,1
Estructura_LN,5
FA_COMUNICACION_DEGRADACION_FIJA,1
FA_COMUNICACION_DEGRADACION_MOVIL,1
FA_NO_BORRAR_ADAPTATIVO_Base_FFTH_NO_MT,10
FIJA_18012020_MAIL_DANA,39
FIJA_202212,6
FIJA_202305,4
FIJA_202305_,6
FIJA_COMPLETA_TV_20230622,1
FIJA_COMPLETA_TV_AV_20230622,1
FIJA_REITERADORES,1
GL_ATIS_RO3.1_27JUL,3
GL_CMS_RO3.1_25JUL,5
GL_MONO_03_06_22,9
GUARDAR_BASE_TRAMITADORES,5
HEAVY_USERS_20200923,1
ID_CASO_ENCUESTAS,1
INC_PORT_20220317,1
INTRIGA_IVRIN_FTTH_2MESES_20230321,3
INTRIGA_IVRIN_FTTH_6MESES_20230321,3
INTRIGA_IVRIN_HFC_2MESES_20230321,3
INTRIGA_IVRIN_HFC_6MESES_20230321,3
Iquitos_Fija,1
Iquitos_Movil,1
JC_iNCREMENTO_PRECIO_20220901,9
JOURNEY_REITERADAS_CRITICO,1
JOURNEY_REITERADAS_CRITICO_20240529,1
JOURNEY_REITERADAS_CRITICO_20240902,1
JOURNEY_REITERADAS_CRITICO_20240903,1
JOURNEY_REITERADAS_CRITICO_20240904,1
JOURNEY_REITERADAS_CRITICO_20240905,1
JOURNEY_REITERADAS_CRITICO_20240906,1
JOURNEY_REITERADAS_CRITICO_2024_05_29,1
LINEAS_SEM_40,2
LINEAS_SEM_42,2
LINEAS_SEM_43,2
LINEAS_SEM_45,2
LINEAS_SEM_46,2
LINEAS_SEM_47,2
Linea_HU_4K_20230928,1
ListaVip_Tenencia_20220310,22
ListaVip_al_20220321,12
Lista_VIP_20220318,12
Llamadas_agencias_20220318,13
Llamadas_agencias_20220318_v1,12
Llamadas_agencias_20220318_v2,14
Llamadas_agencias_20220318_v3,14
MIGRA_NOKIA_20221029,10
MOVIL_202008,4
MOVIL_REITERADORES,1
MTA_Bitacora_20220718,27
MTA_Bitacora_20220823,32
MT_CORTADOS_1711,1
MT_bloqueo_20220307,2
Migra_Consolidado_20221025,2
Migra_Consolidado_20230222,2
Migra_Consolidado_20230308,9
Migra_Consolidado_20230331,2
Migra_Consolidado_20230705,2
Migra_Consolidado_20230718,2
Migra_Consolidado_20230726,2
Migra_Consolidado_20230809,2
Migra_Consolidado_20240813,2
Migra_TV_TV_20220104,27
Migración_tecnologia_ADSL_20230308,8
Migración_tecnologia_Fibra_20230307,20
Migración_tecnologia_Fibra_20230307_ok,20
MigraxAveria_20240325,2
MigraxAveria_Enrutamiento_20240320,3
NO_BORRAR_ADAPTATIVO_Base_MigraxAveria,1
NO_BORRAR_ADAPTATIVO_Heavy_Users,1
NO_BORRAR_ADAPTATIVO_Planta_MT_Diaria,8
NO_BORRAR_ADAPTATIVO_Planta_activa_MT,4
NO_BORRAR_ADAPTATIVO_Planta_con_pedidos_MT,5
NO_BORRAR_ADAPTATIVO_Prioridad_Fija,6
NO_BORRAR_ADAPTATIVO_Prioridad_Movil,6
NO_BORRAR_ADAPTATIVO_Recargas_30_dias,3
NO_BORRAR_ADAPTATIVO_Recencia_Recargas,4
NO_BORRAR_BASE_FILTRAR_TRAMITADORES_ADHOC,1
NO_BORRAR_INFO_LOGUEO,11
NO_BORRAR_TRAMITADORES,1
NO_BORRAR_TRAMITADORES_BASE_RETENCIONES_167,1
NO_BORRAR_TRAMITADORES_BASE_RETENCIONES_167_BACKUP,1
NO_BORRAR_TRAMITADORES_VISOR_BI_RETENCIONES,4
NO_BORRAR_archivo_loginout,6
NO_BORRAR_lineas_tramitadores_a_retirar,5
